#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lifespanpercent":0.9,"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":1000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":{"end":1000,"start":400,"steps":200},"trans_prob_range":{"end":0.25,"start":0.05,"steps":50}}
#lambda percentlifespan
0.05 94
0.05408163265306123 94
0.05816326530612245 99
0.06224489795918368 103
0.0663265306122449 106
0.07040816326530613 104
0.07448979591836735 104
0.07857142857142857 111
0.08265306122448979 108
0.08673469387755103 108
0.09081632653061225 109
0.09489795918367347 112
0.0989795918367347 110
0.10306122448979593 113
0.10714285714285715 110
0.11122448979591837 114
0.11530612244897959 115
0.11938775510204082 116
0.12346938775510205 113
0.12755102040816327 112
0.1316326530612245 111
0.13571428571428573 116
0.13979591836734695 115
0.14387755102040817 113
0.14795918367346939 116
0.1520408163265306 113
0.15612244897959185 116
0.16020408163265304 115
0.16428571428571428 114
0.16836734693877553 114
0.17244897959183675 111
0.17653061224489797 115
0.18061224489795918 112
0.1846938775510204 115
0.18877551020408162 113
0.1928571428571429 112
0.1969387755102041 115
0.20102040816326533 115
0.20510204081632655 113
0.20918367346938777 109
0.21326530612244898 112
0.2173469387755102 116
0.22142857142857142 108
0.22551020408163264 108
0.2295918367346939 110
0.23367346938775513 113
0.23775510204081635 110
0.24183673469387756 108
0.24591836734693878 109
0.25 109
