#{"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.9,"lockdown":{"dynamic_bool":true,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"recovery_prob":0.14,"samples":10000,"sir_seed":14892641,"system_size":200}
#bin log10_prob hits
1 0.0006 6
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0.0001 1
87 0 0
88 0.0006 6
89 0.0006 6
90 0.0004 4
91 0.0012 12
92 0.0012 12
93 0.0021 21
94 0.0033 33
95 0.0047 47
96 0.0066 66
97 0.0102 102
98 0.0151 151
99 0.0188 188
100 0.0248 248
101 0.0282 282
102 0.0306 306
103 0.0359 359
104 0.0425 425
105 0.0408 408
106 0.0456 456
107 0.0468 468
108 0.0491 491
109 0.0466 466
110 0.0408 408
111 0.0443 443
112 0.0445 445
113 0.0411 411
114 0.0371 371
115 0.0405 405
116 0.0321 321
117 0.0301 301
118 0.0265 265
119 0.027 270
120 0.0218 218
121 0.0217 217
122 0.0186 186
123 0.0166 166
124 0.0134 134
125 0.0127 127
126 0.0094 94
127 0.0085 85
128 0.0084 84
129 0.0063 63
130 0.004 40
131 0.0042 42
132 0.0026 26
133 0.0031 31
134 0.0023 23
135 0.0016 16
136 0.0012 12
137 0.0019 19
138 0.0018 18
139 0.0011 11
140 0.0012 12
141 0.0011 11
142 0.0012 12
143 0.0012 12
144 0.0007 7
145 0.0012 12
146 0.0018 18
147 0.0018 18
148 0.0011 11
149 0.0008 8
150 0.0014 14
151 0.0011 11
152 0.0005 5
153 0.0009 9
154 0.0008 8
155 0.0006 6
156 0.0004 4
157 0.0003 3
158 0.0002 2
159 0 0
160 0 0
161 0 0
162 0 0
163 0 0
164 0.0001 1
165 0 0
166 0 0
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
